;Order;PID;MS_SubClass;Lot_Frontage;Lot_Area;Overall_Qual;Overall_Cond;Year_Built;Mas_Vnr_Area;BsmtFin SF 1;BsmtFin SF 2;Bsmt_Unf_SF;Total_Bsmt_SF;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Gr_Liv_Area;Bsmt Full Bath;Bsmt Half Bath;Full_Bath;Half_Bath;Bedroom_AbvGr;Kitchen AbvGr;Garage_Yr_Blt;Garage_Cars;Garage_Area;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Misc Val;Mo Sold;Yr Sold;Sale_Price;DEDED
1;1;526301100;20;141;31770;6;5;1960;112;639;0;441;1080;1656;0;0;1656;1;0;1;0;3;1;1960;2;528;210;62;0;0;0;0;0;5;2010;215000;
2;2;526350040;20;80;11622;5;6;1961;0;468;144;270;882;896;0;0;896;0;0;1;0;2;1;1961;1;730;140;0;0;0;120;0;0;6;2010;105000;
3;3;526351010;20;81;14267;6;6;1958;108;923;0;406;1329;1329;0;0;1329;0;0;1;1;3;1;1958;1;312;393;36;0;0;0;0;12500;6;2010;172000;
4;4;526353030;20;93;11160;7;5;1968;0;1065;0;1045;2110;2110;0;0;2110;1;0;2;1;3;1;1968;2;522;0;0;0;0;0;0;0;4;2010;NA;
5;5;527105010;60;74;13830;5;5;1997;0;791;0;137;928;928;701;0;1629;0;0;2;1;3;1;1997;2;482;212;34;0;0;0;0;0;3;2010;NA;
6;6;527105030;60;78;9978;6;6;1998;20;602;0;324;926;926;678;0;1604;0;0;2;1;3;1;1998;2;470;360;36;0;0;0;0;0;6;2010;195500;
7;7;527127150;120;41;4920;8;5;2001;0;616;0;722;1338;1338;0;0;1338;1;0;2;0;2;1;2001;2;582;0;0;170;0;0;0;0;4;2010;213500;
8;8;527145080;120;43;5005;8;5;1992;0;263;0;1017;1280;1280;0;0;1280;0;0;2;0;2;1;1992;2;506;0;82;0;0;144;0;0;1;2010;191500;
9;9;527146030;120;39;5389;8;5;1995;0;1180;0;415;1595;1616;0;0;1616;1;0;2;0;2;1;1995;2;608;237;152;0;0;0;0;0;3;2010;236500;
10;10;527162130;60;60;7500;7;5;1999;0;0;0;994;994;1028;776;0;1804;0;0;2;1;3;1;1999;2;442;140;60;0;0;0;0;0;6;2010;189000;
11;11;527163010;60;75;10000;6;5;1993;0;0;0;763;763;763;892;0;1655;0;0;2;1;3;1;1993;2;440;157;84;0;0;0;0;0;4;2010;175900;
12;12;527165230;20;NA;7980;6;7;1992;0;935;0;233;1168;1187;0;0;1187;1;0;2;0;3;1;1992;2;420;483;21;0;0;0;0;500;3;2010;185000;
13;13;527166040;60;63;8402;6;5;1998;0;0;0;789;789;789;676;0;1465;0;0;2;1;3;1;1998;2;393;0;75;0;0;0;0;0;5;2010;180400;
14;14;527180040;20;85;10176;7;5;1990;0;637;0;663;1300;1341;0;0;1341;1;0;1;1;2;1;1990;2;506;192;0;0;0;0;0;0;2;2010;171500;
15;15;527182190;120;NA;6820;8;5;1985;0;368;1120;0;1488;1502;0;0;1502;1;0;1;1;1;1;1985;2;528;0;54;0;0;140;0;0;6;2010;212000;
16;16;527216070;60;47;53504;8;5;2003;603;1416;0;234;1650;1690;1589;0;3279;1;0;3;1;4;1;2003;3;841;503;36;0;0;210;0;0;6;2010;NA;
17;17;527225035;50;152;12134;8;7;1988;0;427;0;132;559;1080;672;0;1752;0;0;2;0;4;1;1988;2;492;325;12;0;0;0;0;0;6;2010;164000;
18;18;527258010;20;88;11394;9;2;2010;350;1445;0;411;1856;1856;0;0;1856;1;0;1;1;1;1;2010;3;834;113;0;0;0;0;0;0;6;2010;394432;
19;19;527276150;20;140;19138;4;5;1951;0;120;0;744;864;864;0;0;864;0;0;1;0;2;1;1951;2;400;0;0;0;0;0;0;0;6;2010;141000;
20;20;527302110;20;85;13175;6;6;1978;119;790;163;589;1542;2073;0;0;2073;1;0;2;0;3;1;1978;2;500;349;0;0;0;0;0;0;2;2010;210000;
21;21;527358140;20;105;11751;6;6;1977;480;705;0;1139;1844;1844;0;0;1844;0;0;2;0;3;1;1977;2;546;0;122;0;0;0;0;0;1;2010;190000;
22;22;527358200;85;85;10625;7;6;1974;81;885;168;0;1053;1173;0;0;1173;1;0;2;0;3;1;1974;2;528;0;120;0;0;0;0;0;1;2010;170000;
